YEAR,DEPT,VALID,BLANK,VOID,REJECT,BALLOTS,PFA,PDC,PN,PC,PI,PINT,PLib,PLab2,PLab1,PT,PNE,PUC,PUCU,PVEE,PDS,PA,PSS,PAO,PMJ,PDL,PR,PMP,PGP,PMJ,PCONV,PUP,PURC,PJP,PJDO,PAT,PF,PFIL,PS,PMCC,PMRO,POR,PCOM,UDR,MRENOV,PCPYSS,POSIN,PNI,PFCAP,PO,PAP
1971,TACUAREMBÓ ,54818,217,1579,,56614,,4969,28456,21191,,,,,,,,,,,,,,,,,,,,0,,,202,0,0,,,,,,,,,,,,,,,,
1971,URUGUAY,1664119,6139,42508,,1712766,,304275,668822,681624,,,,,,,,,,,,,,,,,,,,241,,,8844,288,25,,,,,,,,,,,,,,,,
1966,MONTEVIDEO ,524457,,,,,,19746,167406,268253,,,74,,,,,,,,0,,,,,,,,,,,2227,,,,504,72,55854,8104,2198,,,,,,,,,,,
1966,CANELONES ,116255,,,,,,1978,48999,60420,,,0,,,,,,,,44,,,,,,,,,,,302,,,,1016,0,2944,310,242,,,,,,,,,,,
1966,MALDONADO ,31412,,,,,,686,12629,17009,,,0,,,,,,,,0,,,,,,,,,,,0,,,,0,0,883,152,53,,,,,,,,,,,
1966,ROCHA ,32772,,,,,,188,15562,16380,,,0,,,,,,,,0,,,,,,,,,,,4,,,,0,0,459,79,100,,,,,,,,,,,
1966,TREINTA Y TRES ,24076,,,,,,336,13394,9914,,,0,,,,,,,,0,,,,,,,,,,,17,,,,0,0,313,87,15,,,,,,,,,,,
1966,CERRO LARGO ,36294,,,,,,408,21621,13637,,,0,,,,,,,,0,,,,,,,,,,,0,,,,0,0,396,182,50,,,,,,,,,,,
1966,RIVERA ,40765,,,,,,703,18952,20422,,,0,,,,,,,,0,,,,,,,,,,,14,,,,0,0,561,101,12,,,,,,,,,,,
1966,ARTIGAS ,25037,,,,,,523,8242,15744,,,0,,,,,,,,0,,,,,,,,,,,0,,,,0,0,205,137,186,,,,,,,,,,,
1966,SALTO ,43867,,,,,,1008,18983,22029,,,0,,,,,,,,0,,,,,,,,,,,8,,,,0,0,874,594,371,,,,,,,,,,,
1966,PAYSANDÚ ,41835,,,,,,2598,16125,21788,,,0,,,,,,,,0,,,,,,,,,,,26,,,,0,0,875,395,28,,,,,,,,,,,
1966,RÍO NEGRO ,21033,,,,,,263,8666,11149,,,0,,,,,,,,0,,,,,,,,,,,0,,,,0,0,668,259,28,,,,,,,,,,,
1966,SORIANO  ,40739,,,,,,1036,18980,19432,,,0,,,,,,,,0,,,,,,,,,,,0,,,,0,0,963,247,81,,,,,,,,,,,
