YEAR,DEPT,VALID,BLANK,VOID,REJECT,BALLOTS,PFA,PDC,PN,PC,PI,PINT,PLib,PLab2,PLab1,PT,PNE,PUC,PUCU,PVEE,PDS,PA,PSS,PAO,PMJ,PDL,PR,PMP,PGP,PMJ,PCONV,PUP,PURC,PJP,PJDO,PAT,PF,PFIL,PS,PMCC,PMRO,POR,PCOM,UDR,MRENOV,PCPYSS,POSIN,PNI,PFCAP,PO,PAP
1954,MALDONADO ,23240,,,,,,,6547,13606,,,,,,,,,908,,,,,,,,,,,,,,,,,,,,235,,,,100,,,,,1844,0,0,
1954,ROCHA ,26514,,,,,,,7117,13589,,,,,,,,,551,,,,,,,,,,,,,,,,,,,,160,,,,184,,,,,4913,0,0,
1954,TREINTA Y TRES ,18223,,,,,,,10422,7008,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,91,,,,73,,,,,396,0,0,
1954,CERRO LARGO ,26611,,,,,,,13124,12168,,,,,,,,,557,,,,,,,,,,,,,,,,,,,,257,,,,96,,,,,409,0,0,
1954,RIVERA ,30248,,,,,,,12108,16730,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,237,,,,249,,,,,340,0,0,
1954,ARTIGAS ,18294,,,,,,,5151,11826,,,,,,,,,1085,,,,,,,,,,,,,,,,,,,,51,,,,32,,,,,149,0,0,
1954,SALTO ,30728,,,,,,,10372,16483,,,,,,,,,1366,,,,,,,,,,,,,,,,,,,,962,,,,185,,,,,1360,0,0,
1954,PAYSANDÚ ,30895,,,,,,,10481,15366,,,,,,,,,1548,,,,,,,,,,,,,,,,,,,,430,,,,264,,,,,2806,0,0,
1954,RÍO NEGRO ,14793,,,,,,,5267,7507,,,,,,,,,327,,,,,,,,,,,,,,,,,,,,541,,,,232,,,,,919,0,0,
1954,SORIANO  ,33099,,,,,,,12457,14476,,,,,,,,,1042,,,,,,,,,,,,,,,,,,,,617,,,,270,,,,,4237,0,0,
1954,COLONIA ,45810,,,,,,,18724,21496,,,,,,,,,1856,,,,,,,,,,,,,,,,,,,,656,,,,287,,,,,2791,0,0,
1954,SAN JOSÉ ,30036,,,,,,,13460,13774,,,,,,,,,1782,,,,,,,,,,,,,,,,,,,,160,,,,163,,,,,697,0,0,
1954,FLORES ,12171,,,,,,,6408,4511,,,,,,,,,714,,,,,,,,,,,,,,,,,,,,80,,,,28,,,,,430,0,0,
1954,FLORIDA ,30764,,,,,,,13874,14644,,,,,,,,,812,,,,,,,,,,,,,,,,,,,,167,,,,156,,,,,1111,0,0,
1954,DURAZNO ,24109,,,,,,,12788,9454,,,,,,,,,833,,,,,,,,,,,,,,,,,,,,145,,,,85,,,,,804,0,0,
1954,LAVALLEJA ,28109,,,,,,,12263,13545,,,,,,,,,792,,,,,,,,,,,,,,,,,,,,189,,,,148,,,,,1172,0,0,
1954,TACUAREMBÓ ,30575,,,,,,,12013,16292,,,,,,,,,713,,,,,,,,,,,,,,,,,,,,177,,,,172,,,,,1208,0,0,
1954,URUGUAY,879242,,,,,,,309818,444429,,,,,,,,,44255,,,,,,,,,,,,,,,,,,,,28704,,,,19541,,,,,32341,89,65,
